frame,t,valid,px,py,pz,body_qw,body_qx,body_qy,body_qz,camera_qw,camera_qx,camera_qy,camera_qz,vx,vy,vz,ax,ay,az,goal_x,goal_y,goal_z,collision,min_clearance
0,0.0000000,0,-17.7257595,10.8880577,3.7481699,0.9899425,-0.0004872,0.0034100,0.1414280,0.9899425,-0.0004872,0.0034100,0.1414280,3.7674177,1.0988923,-0.0270367,0.0000000,0.0000000,0.0000000,2.2287426,16.7084503,3.6049671,0,3.9636800
1,0.0303030,0,-17.6121788,10.9209194,3.7473507,0.9900007,0.0137109,0.0054424,0.1402887,0.9900007,0.0137109,0.0054424,0.1402887,3.7481327,1.0844350,-0.0270367,-0.6364073,-0.4770930,0.0000000,2.2287426,16.7084503,3.6049671,0,3.8188841
2,0.0606061,0,-17.4993076,10.9532394,3.7465315,0.9901349,0.0174145,0.0059668,0.1389029,0.9901349,0.0174145,0.0059668,0.1389029,3.7247581,1.0665581,-0.0270367,-0.7713588,-0.5899352,0.0000011,2.2287426,16.7084503,3.6049671,0,3.6753314
3,0.0909091,1,-17.3872757,10.9849024,3.7457123,0.9902878,0.0216927,0.0065580,0.1371731,0.9902878,0.0216927,0.0065580,0.1371731,3.6970229,1.0448771,-0.0270366,-0.9152594,-0.7154742,0.0000035,2.2287426,16.7084503,3.6049671,0,3.5332334
4,0.1212121,1,-17.2762241,11.0157814,3.7448931,0.9904566,0.0265961,0.0072142,0.1350417,0.9904566,0.0265961,0.0072142,0.1350417,3.6647165,1.0190113,-0.0270364,-1.0661106,-0.8535714,0.0000075,2.2287426,16.7084503,3.6049671,0,3.3928246
5,0.1515152,1,-17.1662941,11.0457382,3.7440739,0.9906364,0.0321823,0.0079317,0.1324428,0.9906364,0.0321823,0.0079317,0.1324428,3.6276951,0.9885846,-0.0270360,-1.2217090,-1.0040798,0.0000134,2.2287426,16.7084503,3.6049671,0,3.2543528
6,0.1818182,1,-17.0576305,11.0746241,3.7432547,0.9908189,0.0385171,0.0087033,0.1293009,0.9908189,0.0385171,0.0087033,0.1293009,3.5858881,0.9532253,-0.0270353,-1.3796303,-1.1668552,0.0000213,2.2287426,16.7084503,3.6049671,0,3.1180830
7,0.2121212,1,-16.9503784,11.1022778,3.7424355,0.9909924,0.0456729,0.0095171,0.1255286,0.9909924,0.0456729,0.0095171,0.1255286,3.5393064,0.9125664,-0.0270344,-1.5371974,-1.3417424,0.0000315,2.2287426,16.7084503,3.6049671,0,2.9842975
8,0.2424242,1,-16.8446808,11.1285276,3.7416162,0.9911402,0.0537274,0.0103548,0.1210251,0.9911402,0.0537274,0.0103548,0.1210251,3.4880505,0.8662462,-0.0270330,-1.6914464,-1.5285670,0.0000444,2.2287426,16.7084503,3.6049671,0,2.8532951
9,0.2727273,1,-16.7406712,11.1531916,3.7407970,0.9912394,0.0627606,0.0111892,0.1156740,0.9912394,0.0627606,0.0111892,0.1156740,3.4323201,0.8139092,-0.0270312,-1.8391013,-1.7271233,0.0000602,2.2287426,16.7084503,3.6049671,0,2.7253864
10,0.3030303,1,-16.6384773,11.1760769,3.7399781,0.9912587,0.0728498,0.0119806,0.1093416,0.9912587,0.0728498,0.0119806,0.1093416,3.3724251,0.7552074,-0.0270288,-1.9765356,-1.9371579,0.0000790,2.2287426,16.7084503,3.6049671,0,2.6009002
11,0.3333333,1,-16.5382099,11.1969805,3.7391591,0.9911581,0.0840606,0.0126737,0.1018761,0.9911581,0.0840606,0.0126737,0.1018761,3.3087969,0.6898037,-0.0270257,-2.0997295,-2.1583211,0.0001012,2.2287426,16.7084503,3.6049671,0,2.4801779
12,0.3636364,1,-16.4399681,11.2156887,3.7383404,0.9908871,0.0964351,0.0131928,0.0931074,0.9908871,0.0964351,0.0131928,0.0931074,3.2420018,0.6173756,-0.0270219,-2.2042420,-2.3901277,0.0001269,2.2287426,16.7084503,3.6049671,0,2.3635802
13,0.3939394,1,-16.3438244,11.2319803,3.7375216,0.9903845,0.1099723,0.0134381,0.0828500,0.9903845,0.1099723,0.0134381,0.0828500,3.1727543,0.5376226,-0.0270172,-2.2851634,-2.6318495,0.0001564,2.2287426,16.7084503,3.6049671,0,2.2514789
14,0.4242424,1,-16.2498264,11.2456255,3.7367032,0.9895803,0.1246049,0.0132826,0.0709082,0.9895803,0.1246049,0.0132826,0.0709082,3.1019325,0.4502762,-0.0270114,-2.3371184,-2.8824296,0.0001897,2.2287426,16.7084503,3.6049671,0,2.1442635
15,0.4545455,1,-16.1579895,11.2563868,3.7358849,0.9884007,0.1401676,0.0125726,0.0570881,0.9884007,0.1401676,0.0125726,0.0570881,3.0305912,0.3551159,-0.0270045,-2.3542583,-3.1402900,0.0002271,2.2287426,16.7084503,3.6049671,0,2.0423408
16,0.4848485,1,-16.0682926,11.2640228,3.7350669,0.9867766,0.1563621,0.0111353,0.0412150,0.9867766,0.1563621,0.0111353,0.0412150,2.9599750,0.2519906,-0.0269964,-2.3303392,-3.4031348,0.0002684,2.2287426,16.7084503,3.6049671,0,1.9461346
17,0.5151515,1,-15.9806709,11.2682915,3.7342491,0.9846588,0.1727229,0.0087963,0.0231617,0.9846588,0.1727229,0.0087963,0.0231617,2.8915246,0.1408498,-0.0269869,-2.2588611,-3.6676469,0.0003138,2.2287426,16.7084503,3.6049671,0,1.8560848
18,0.5454546,1,-15.8950081,11.2689514,3.7334316,0.9847924,0.1736268,0.0053675,0.0029658,0.9847924,0.1736268,0.0053675,0.0029658,2.8268771,0.0217836,-0.0269759,-2.1333642,-3.9291837,0.0003631,2.2287426,16.7084503,3.6049671,0,1.7726493
19,0.5757576,1,-15.8111334,11.2657719,3.7326145,0.9846033,0.1737058,0.0015027,-0.0195011,0.9846033,0.1737058,0.0015027,-0.0195011,2.7678509,-0.1049257,-0.0269633,-1.9478673,-4.1814075,0.0004163,2.2287426,16.7084503,3.6049671,0,1.6962991
20,0.6060606,1,-15.7288179,11.2585373,3.7317979,0.9838122,0.1736925,-0.0027474,-0.0440091,0.9838122,0.1736925,-0.0027474,-0.0440091,2.7164087,-0.2387439,-0.0269489,-1.6975878,-4.4159999,0.0004729,2.2287426,16.7084503,3.6049671,0,1.6275184
21,0.6363636,1,-15.6477699,11.2470579,3.7309818,0.9822988,0.1735616,-0.0073088,-0.0700869,0.9822988,0.1735616,-0.0073088,-0.0700869,2.6745942,-0.3788195,-0.0269328,-1.3798796,-4.6224966,0.0005326,2.2287426,16.7084503,3.6049671,0,1.5667973
22,0.6666667,1,-15.5676355,11.2311811,3.7301662,0.9800053,0.1732963,-0.0120623,-0.0970177,0.9800053,0.1732963,-0.0120623,-0.0970177,2.6444311,-0.5239246,-0.0269148,-0.9953769,-4.7884693,0.0005950,2.2287426,16.7084503,3.6049671,0,1.5146227
23,0.6969697,1,-15.4880056,11.2108049,3.7293513,0.9769731,0.1728956,-0.0168494,-0.1238829,0.9769731,0.1728956,-0.0168494,-0.1238829,2.6277890,-0.6724151,-0.0268948,-0.5491872,-4.9001865,0.0006596,2.2287426,16.7084503,3.6049671,0,1.4714663
24,0.7272727,1,-15.4084234,11.1858892,3.7285368,0.9733568,0.1723783,-0.0214897,-0.1496678,0.9733568,0.1723783,-0.0214897,-0.1496678,2.6262188,-0.8222291,-0.0268728,-0.0518209,-4.9438596,0.0007255,2.2287426,16.7084503,3.6049671,0,1.4377694
