frame,t,id,cx,cy,cz,vx,vy,vz,size_x,size_y,height
0,0.0000000,0,-4.2039909,-16.0497551,1.9292090,2.1124468,0.7057208,0,1.2268223,1.2416598,3.8584180
0,0.0000000,1,-4.5177078,16.4523239,2.2366784,2.5015252,-1.5672101,0,1.2472353,1.2475221,4.4733567
0,0.0000000,2,-21.1650085,-6.3519344,2.2213979,0.8302732,-1.2523117,0,1.2163467,1.1217248,4.4427958
0,0.0000000,3,5.5727615,13.9881134,2.0970664,-0.8558344,-1.8952006,0,0.6537101,1.2252797,4.1941328
0,0.0000000,4,1.8616486,12.5788822,1.6255897,1.6448373,-0.8011445,0,0.9962315,0.7579066,3.2511795
0,0.0000000,5,-0.4656448,13.2724915,2.7741477,1.8016037,1.5100353,0,1.1709609,0.8680024,5.5482955
0,0.0000000,6,-10.4592419,9.0898476,2.1258149,0.9856044,-1.0005621,0,0.9219561,1.2501991,4.2516298
0,0.0000000,7,28.8866692,7.7523403,1.9405711,-2.0217514,-1.3208700,0,0.8054369,0.8110616,3.8811421
0,0.0000000,8,-4.0584049,-19.2426682,1.5419729,-0.9830270,-1.4286888,0,1.2993040,0.9903311,3.0839458
0,0.0000000,9,23.0086098,-4.3696232,1.9683919,-1.8625318,1.4751606,0,0.9832473,0.6693779,3.9367838
0,0.0000000,10,0.1079521,-2.0921135,2.2676451,1.8723942,0.8586352,0,1.2240629,1.4497440,4.5352902
0,0.0000000,11,-0.1595783,-5.0361309,1.9759282,-1.4738556,1.6442953,0,0.7040566,0.8722945,3.9518564
0,0.0000000,12,-0.9937687,-0.2667732,1.6633934,-0.3190228,-2.9466801,0,1.4250288,0.8254099,3.3267868
0,0.0000000,13,14.8240471,-22.3854980,2.4193418,-0.7855461,1.5101342,0,1.0675366,0.9931746,4.8386836
0,0.0000000,14,2.6446838,-3.9188194,1.9240544,-1.3543605,-0.0831361,0,1.3179555,1.1427541,3.8481088
0,0.0000000,15,11.1909485,10.7136574,2.1255333,-1.8958148,1.8849610,0,0.8737087,0.9067164,4.2510667
0,0.0000000,16,10.0164318,-13.6576433,2.1851220,-1.0219154,1.6781807,0,0.8410234,1.0593801,4.3702440
0,0.0000000,17,1.7687759,20.2517910,2.5120335,-0.8131132,-0.4685092,0,1.1624131,0.8434632,5.0240669
0,0.0000000,18,-15.1535549,-18.7683144,2.8366637,0.9849290,-0.0351892,0,0.8834698,1.2873145,5.6733274
0,0.0000000,19,1.2293301,22.8147888,1.6435688,0.6275145,0.6455040,0,1.1152112,0.7910683,3.2871375
0,0.0000000,20,-28.3416901,-1.3484306,2.9914351,0.7297729,-1.8471448,0,1.4271511,1.2510748,5.9828701
0,0.0000000,21,-12.9110394,-20.4492435,1.7384394,0.8086724,2.2698417,0,1.1011066,1.0564839,3.4768789
0,0.0000000,22,11.3842831,24.2227459,2.2674820,-0.3722778,-1.8488504,0,0.6976881,0.8868898,4.5349641
0,0.0000000,23,20.9611263,20.1835423,2.8876987,1.4234579,-1.7791113,0,0.9500555,0.9267937,5.7753973
0,0.0000000,24,-11.5277309,-7.1129208,1.8469522,1.4246842,0.4546297,0,0.9536500,0.6392323,3.6939044
0,0.0000000,25,-29.1397934,-8.4864635,2.9930377,-0.1650036,2.0885484,0,1.2344630,1.1010472,5.9860754
0,0.0000000,26,11.3771381,22.0778122,1.5645404,0.2320987,-0.8465788,0,0.6518832,1.1338592,3.1290808
0,0.0000000,27,-7.8013687,-9.1912479,1.8612838,2.6746306,0.2211230,0,0.9589887,1.2864909,3.7225676
0,0.0000000,28,-23.3986015,-15.2734566,2.3280656,-0.6198491,0.5478218,0,0.6264814,1.1999621,4.6561313
0,0.0000000,29,-18.1367683,20.4389420,2.4923465,1.1657724,0.4053409,0,0.8897825,1.0142146,4.9846931
0,0.0000000,30,-6.7558594,10.4319477,2.3392310,-0.4690070,1.2038348,0,1.3361347,1.3690072,4.6784620
0,0.0000000,31,-4.8451023,19.2920189,1.7566228,0.3422884,-0.5494494,0,0.9188383,1.3817149,3.5132456
0,0.0000000,32,4.6321316,4.7494564,2.2817392,0.6555859,-1.6804818,0,1.0306132,1.0971330,4.5634785
0,0.0000000,33,9.2272663,23.7417107,2.9825182,-0.3611943,-1.3247459,0,0.6024193,1.4278944,5.9650364
0,0.0000000,34,1.1788597,-12.8728333,2.1735802,0.7831163,-2.6411235,0,1.0869846,0.8632405,4.3471603
0,0.0000000,35,12.5918617,3.7902908,1.8863131,-0.6285444,1.6803378,0,1.4852679,1.1071329,3.7726262
0,0.0000000,36,13.6525230,22.0308342,2.4491682,-0.4453220,-0.7851790,0,0.9168377,0.9549330,4.8983364
0,0.0000000,37,-8.8633442,28.2914619,2.7987967,-2.2530835,-1.2269764,0,1.1406288,1.4887304,5.5975933
0,0.0000000,38,-17.5327473,22.8353424,1.5080299,-1.3805475,0.8601670,0,0.6589154,0.9855126,3.0160599
0,0.0000000,39,-27.8305359,-12.0300121,1.6399901,-2.2845788,1.1177049,0,1.0929873,0.7794670,3.2799802
0,0.0000000,40,-2.5204582,-25.4654331,1.5841246,2.3517637,-0.3895903,0,0.8176449,1.1121035,3.1682491
0,0.0000000,41,-4.8868141,12.3009377,1.5728686,-0.6060510,0.9650943,0,1.2676760,1.0584863,3.1457372
0,0.0000000,42,16.5947952,18.4292755,2.7110767,0.4747298,1.1198741,0,0.9433609,0.7493441,5.4221535
0,0.0000000,43,-5.6058464,-22.7361412,2.4978921,0.4972092,0.8391991,0,0.8758228,1.4933522,4.9957843
0,0.0000000,44,11.5746403,-5.6634979,2.2535543,-0.6716103,-1.4531219,0,1.0393571,1.3990711,4.5071087
0,0.0000000,45,6.1773758,3.8962975,2.6476440,-1.0029304,-0.5923163,0,0.9943930,0.6432269,5.2952881
0,0.0000000,46,18.4519806,-1.3270283,2.3760691,-0.6356049,-1.1826911,0,1.3932123,1.1244040,4.7521381
0,0.0000000,47,-20.0857944,4.3956165,2.6260755,-0.0139091,1.3464719,0,1.4348190,0.6509580,5.2521510
0,0.0000000,48,21.2051830,-17.4502678,2.5257647,1.9003134,1.7060190,0,0.9965787,0.6712341,5.0515294
0,0.0000000,49,-24.6258469,-24.4942932,1.6929468,-1.1053104,-1.3093296,0,1.4188845,1.4320245,3.3858936
0,0.0000000,50,-4.4485836,21.7920074,1.6223527,1.7396923,-0.7775449,0,1.2287073,0.9594408,3.2447054
0,0.0000000,51,-0.2525463,18.3730240,1.8020992,1.3980401,-0.2850566,0,0.7100192,1.0448971,3.6041985
0,0.0000000,52,-28.8500786,9.1251507,2.7619174,1.8275741,-0.4365150,0,1.4299158,1.3271444,5.5238347
0,0.0000000,53,5.4324799,7.9706173,1.5439796,-1.6323237,-0.3348082,0,1.2015456,1.3495529,3.0879593
0,0.0000000,54,-1.5925446,11.8695297,2.0872190,-0.7857753,0.1720285,0,1.2062941,1.2703025,4.1744380
0,0.0000000,55,-26.0315685,9.0973816,1.6001617,-1.9694480,0.0484393,0,1.0883723,0.6814590,3.2003233
0,0.0000000,56,4.3323059,24.6865921,2.2669761,0.2516464,-0.7135122,0,1.2760563,1.2924576,4.5339522
0,0.0000000,57,28.1720772,-26.5835648,2.4917517,-0.3437575,1.2628188,0,1.2298506,1.0437025,4.9835033
0,0.0000000,58,-4.3908100,-9.1869755,1.9578437,1.0584668,2.2322319,0,0.7706105,1.0668449,3.9156873
0,0.0000000,59,18.0986938,-18.8958282,2.2215395,0.8697208,-1.8091826,0,0.9704123,0.6484335,4.4430790
0,0.0000000,60,-18.4132881,2.0890846,2.6214898,-1.1942742,-0.9773743,0,1.1896918,1.3609798,5.2429795
0,0.0000000,61,-19.1711884,24.5736923,1.8548998,-1.9257959,1.0841080,0,1.4901311,1.0465767,3.7097995
0,0.0000000,62,-2.1416950,-10.9653149,2.4378364,1.7530441,-0.0935965,0,1.0768427,0.6821668,4.8756728
0,0.0000000,63,-21.7186337,-15.1532040,1.5710093,-0.6628659,-0.4537152,0,0.8823020,1.3381279,3.1420186
0,0.0000000,64,18.1591835,-11.8065338,1.5614012,2.3056669,-1.4756387,0,1.0015935,0.8144249,3.1228025
0,0.0000000,65,16.9041042,28.9552021,2.2273641,1.1231072,-1.1204922,0,0.6049909,0.7054862,4.4547281
0,0.0000000,66,-2.2599716,1.2462101,1.7727172,2.8830349,-0.3764724,0,0.6695005,0.6873344,3.5454345
0,0.0000000,67,-23.6564884,17.6671410,2.6983840,-0.5164354,-1.9232512,0,0.9076476,0.8821883,5.3967681
0,0.0000000,68,12.7585583,-11.4984837,2.4065104,-1.2194341,0.9179164,0,0.8233529,0.9990309,4.8130207
0,0.0000000,69,12.5855198,8.8756046,2.9512415,-1.4656452,1.6527965,0,0.7719063,1.1238139,5.9024830
0,0.0000000,70,-13.6472082,-26.6452637,2.8698468,1.2818485,-1.1989634,0,1.4519588,0.6227182,5.7396936
0,0.0000000,71,-16.8396587,28.5822773,1.9838517,0.6789294,0.3495171,0,1.1176218,0.9368630,3.9677033
0,0.0000000,72,-5.8591595,7.9096756,1.9509152,0.4604988,-2.3162422,0,0.8092318,1.1667550,3.9018304
0,0.0000000,73,-29.1686077,28.4991188,2.6482127,-0.6959600,-1.2312100,0,0.9610673,0.9260491,5.2964253
0,0.0000000,74,2.8835487,5.7459087,1.7430238,0.4259139,-1.5321720,0,1.0804974,1.0271353,3.4860475
0,0.0000000,75,-28.0173893,19.8897018,2.0903456,1.5753921,2.2160802,0,0.8670582,1.1688454,4.1806912
0,0.0000000,76,-1.3658524,16.2255039,1.6904371,-2.5858631,-0.7670613,0,0.6145068,1.4585073,3.3808742
0,0.0000000,77,27.6442909,15.4209023,1.8980362,-1.1822610,2.4042485,0,1.3129871,1.2398989,3.7960725
0,0.0000000,78,27.8662739,-4.1467915,2.9377646,-1.5264516,1.5676907,0,1.2391455,0.9176931,5.8755293
0,0.0000000,79,25.2574520,-25.4199066,2.1893954,-0.8718739,0.0110655,0,1.2294416,0.9203619,4.3787909
0,0.0000000,80,-25.2863827,20.3570309,2.7490745,-0.6160163,-0.6077350,0,1.4460261,1.1739759,5.4981489
0,0.0000000,81,-28.3611526,2.3222065,1.9157923,-2.0150759,-1.1149430,0,1.3550220,1.1368382,3.8315847
0,0.0000000,82,-8.1674385,-16.1654778,1.6272334,-0.9167973,0.9153640,0,0.6069638,1.1097121,3.2544668
0,0.0000000,83,27.5311375,4.2447224,1.8381951,0.6388025,1.0200239,0,1.1112928,1.1654533,3.6763902
0,0.0000000,84,-4.8155212,23.1840420,1.6162776,-1.5944128,-0.3516106,0,0.8217555,0.8684208,3.2325552
0,0.0000000,85,-29.2274704,26.4279175,2.3812406,2.5559640,0.9390197,0,1.4391155,1.0423276,4.7624812
0,0.0000000,86,-29.3385372,-9.9797630,2.4462273,-1.3046715,1.0933408,0,0.9054577,1.0505053,4.8924546
0,0.0000000,87,-23.7587223,-26.3117847,1.7975485,1.8889108,-1.2530705,0,1.4347095,1.2563901,3.5950971
0,0.0000000,88,20.9318905,28.0989685,2.3108068,0.5564952,-0.1061455,0,1.3923750,0.9351568,4.6216135
0,0.0000000,89,0.7900982,23.9967613,2.5213547,1.4081604,1.1285712,0,1.4281342,0.6352833,5.0427094
0,0.0000000,90,-9.6829224,-8.7556629,2.7558761,-1.1664159,0.7260287,0,1.1215475,1.3307580,5.5117521
0,0.0000000,91,-6.5113659,-7.7170010,2.6321957,-0.0735741,-1.5038633,0,0.9508868,0.9603709,5.2643914
0,0.0000000,92,24.1976719,8.6704712,2.1988907,0.4050177,-1.3108495,0,0.6935926,1.4439015,4.3977814
0,0.0000000,93,-1.2606449,-17.2207413,1.9107633,0.6225709,-1.0327717,0,1.1711743,1.4031055,3.8215265
