frame,t,dt,tx,ty,tz,qw,qx,qy,qz
0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000
1,0.0303030,0.0303030,0.1182416,-0.0002571,-0.0000046,0.9998965,0.0143467,0.0000043,-0.0010867
2,0.0606061,0.0303030,0.1174098,-0.0003234,0.0000036,0.9999921,0.0037458,-0.0000202,-0.0013778
3,0.0909091,0.0303030,0.1164225,-0.0004005,0.0000077,0.9999892,0.0043258,-0.0000400,-0.0017188
4,0.1212121,0.0303030,0.1152666,-0.0004879,0.0000138,0.9999855,0.0049561,-0.0000700,-0.0021160
5,0.1515152,0.0303030,0.1139401,-0.0005877,0.0000228,0.9999807,0.0056438,-0.0001142,-0.0025771
6,0.1818182,0.0303030,0.1124382,-0.0006998,0.0000354,0.9999747,0.0063967,-0.0001772,-0.0031112
7,0.2121212,0.0303030,0.1107598,-0.0008264,0.0000529,0.9999670,0.0072215,-0.0002657,-0.0037291
8,0.2424242,0.0303030,0.1089072,-0.0009683,0.0000766,0.9999571,0.0081232,-0.0003880,-0.0044431
9,0.2727273,0.0303030,0.1068911,-0.0011271,0.0001083,0.9999446,0.0091043,-0.0005548,-0.0052670
10,0.3030303,0.0303030,0.1047199,-0.0013031,0.0001502,0.9999288,0.0101620,-0.0007802,-0.0062159
11,0.3333333,0.0303030,0.1024153,-0.0014986,0.0002046,0.9999091,0.0112854,-0.0010815,-0.0073054
12,0.3636364,0.0303030,0.0999955,-0.0017137,0.0002748,0.9998848,0.0124518,-0.0014798,-0.0085503
13,0.3939394,0.0303030,0.0974976,-0.0019479,0.0003635,0.9998557,0.0136204,-0.0019999,-0.0099622
14,0.4242424,0.0303030,0.0949600,-0.0022002,0.0004745,0.9998214,0.0147280,-0.0026688,-0.0115466
15,0.4545455,0.0303030,0.0924339,-0.0024687,0.0006109,0.9997824,0.0156807,-0.0035125,-0.0132974
16,0.4848485,0.0303030,0.0899798,-0.0027479,0.0007743,0.9997405,0.0163519,-0.0045496,-0.0151911
17,0.5151515,0.0303030,0.0876718,-0.0030297,0.0009640,0.9996982,0.0165802,-0.0057817,-0.0171794
18,0.5454546,0.0303030,0.0855974,-0.0033056,0.0011765,0.9997898,0.0009652,-0.0068866,-0.0192890
19,0.5757576,0.0303030,0.0838517,-0.0036008,0.0012926,0.9997402,0.0002197,-0.0077061,-0.0214533
20,0.6060606,0.0303030,0.0825345,-0.0038677,0.0013937,0.9996904,0.0002441,-0.0084410,-0.0234078
21,0.6363636,0.0303030,0.0817459,-0.0040805,0.0014764,0.9996485,0.0002632,-0.0090270,-0.0249297
22,0.6666667,0.0303030,0.0815731,-0.0042126,0.0015308,0.9996235,0.0002738,-0.0093788,-0.0257879
23,0.6969697,0.0303030,0.0820757,-0.0042383,0.0015474,0.9996231,0.0002732,-0.0094224,-0.0257878
24,0.7272727,0.0303030,0.0832787,-0.0041398,0.0015188,0.9996502,0.0002603,-0.0091166,-0.0248282
25,0.7575758,0.0303030,0.0851633,-0.0039114,0.0014429,0.9997010,0.0002361,-0.0084679,-0.0229401
26,0.7878788,0.0303030,0.0876659,-0.0035596,0.0013209,0.9997658,0.0002035,-0.0075320,-0.0202863
27,0.8181819,0.0303030,0.0904952,-0.0031890,0.0011886,0.9998233,0.0001713,-0.0065674,-0.0176097
28,0.8484849,0.0303030,0.0932963,-0.0029268,0.0010923,0.9997865,-0.0121213,-0.0056612,-0.0157487
29,0.8787879,0.0303030,0.0960441,-0.0026969,0.0009330,0.9998072,-0.0128418,-0.0046754,-0.0140979
30,0.9090909,0.0303030,0.0987142,-0.0024731,0.0007855,0.9998346,-0.0125808,-0.0038185,-0.0125693
31,0.9393940,0.0303030,0.1012860,-0.0022517,0.0006536,0.9998577,-0.0122783,-0.0030896,-0.0111529
32,0.9696970,0.0303030,0.1037405,-0.0020363,0.0005378,0.9998774,-0.0119209,-0.0024744,-0.0098443
